broken_target,instances,best_destination,best_score,best_jaccard,best_sequence,second_score,margin,confidence,example_source_1,example_anchor_1,example_source_2,example_anchor_2
https://defiliban.io/charles-schwab-launches-schwab-crypto-spot-trading-for-retail-clients/,2,https://defiliban.io/charles-schwab-launches-schwab-crypto-spot-trading-retail-clients/,0.97,0.889,0.97,0.6,0.37,high,https://defiliban.io/kelpdao-exploit-aave-rseth-bad-debt/,Charles Schwab’s retail crypto spot trading rollout,https://defiliban.io/coinbase-ventures-funding-slows-capital-shifts-tokenization-defi-ai-agents/,Charles Schwab’s retail crypto spot trading rollout
https://defiliban.io/top-crypto-news-in-24-hours-strategy-buys-2932-btc/,2,https://defiliban.io/top-crypto-news-24-hours-strategy-buys-2932-btc/,0.969,0.9,0.969,0.821,0.148,high,https://defiliban.io/polymarket-protocol-upgrade-pusd-official-docs/,crypto news roundups,https://defiliban.io/bhutan-sold-70-percent-bitcoin-holdings-18-months/,"Strategy’s 2,932 BTC purchase"
https://defiliban.io/top-5-crypto-news-in-24-hours-mstr-buys-7300-btc/,2,https://defiliban.io/top-5-crypto-news-24-hours-mstr-buys-7300-btc/,0.968,0.909,0.968,0.821,0.147,high,https://defiliban.io/genius-featured-binance-alpha/,institutional players are making large directional bets,https://defiliban.io/chainalysis-stablecoin-economic-volume-719t-2035/,"Top 5 Crypto News in 24 Hours: MSTR Buys 7,300 BTC"
https://defiliban.io/new-wallet-0x8315-withdraws-10899-eth-binance/,2,https://defiliban.io/wallet-0x8315-withdraws-10899-eth-binance/,0.953,0.857,0.953,0.658,0.295,high,https://defiliban.io/bitcoin-halving-700-days-cycle-bottom/,large wallet movements across major exchanges,https://defiliban.io/delphx-capital-markets-delx-crypto-treasury-plans/,"$71,043"
https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-hits-1488-btc/,2,https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-1488-btc/,0.949,0.9,0.949,0.785,0.164,high,https://defiliban.io/grayscale-hype-etf-claim-lacks-sec-s1-proof/,recent fluctuations in Bitcoin ETF flows,https://defiliban.io/top-5-crypto-news-last-24-hours-mantle-lending-1-35b/,ETF flow data
https://defiliban.io/coinbase-lists-mega-spot-trading/,2,https://defiliban.io/coinbase-lists-mega-for-spot-trading/,0.941,0.833,0.941,0.824,0.118,high,https://defiliban.io/shinhan-card-pilot-stablecoin-payments-solana-testnet/,crypto market,https://defiliban.io/visa-expands-stablecoin-pilot-nine-chains-base-polygon-canton-tempo-arc/,new crypto assets reach major exchanges
https://defiliban.io/shinhan-card-stablecoin-payments-solana-testnet/,2,https://defiliban.io/shinhan-card-pilot-stablecoin-payments-solana-testnet/,0.94,0.857,0.94,0,0.94,high,https://defiliban.io/remixpoint-buys-19-72-btc-total-holdings-1471-btc/,institutional blockchain pilots,https://defiliban.io/mega-listed-on-binance-spot-market/,Shinhan Card’s stablecoin payment pilot on Solana
https://defiliban.io/sol-forward-industries-stock-solana-treasury-strategy/,2,https://defiliban.io/sol-forward-industries-solana-treasury-strategy/,0.94,0.857,0.94,0.782,0.158,high,https://defiliban.io/cftc-bitcoin-margin-collateral-fcms/,firm with a digital asset treasury strategy,https://defiliban.io/gemini-collective-lawsuit-investor-misrepresentation/,institutional players allocate to crypto treasury strategies
https://defiliban.io/polymarket-seeks-cftc-approval-to-return-main-exchange-to-u-s/,2,https://defiliban.io/polymarket-seeks-cftc-approval-return-main-exchange-us/,0.939,0.636,0.939,0,0.939,high,https://defiliban.io/ctr-added-to-coinbase-roadmap/,platforms seeking regulatory approval to expand U.S. operations,https://defiliban.io/block-buys-additional-114-89-btc-bringing-total-holdings-to-8998-btc/,Polymarket’s pursuit of CFTC approval
https://defiliban.io/ai-and-stablecoins-are-quietly-bringing-new-users-into-crypto/,2,https://defiliban.io/ai-stablecoins-quietly-bringing-new-users-into-crypto/,0.93,0.8,0.93,0,0.93,high,https://defiliban.io/top-5-crypto-news-24-hours-mstr-buys-7300-btc/,AI and Stablecoins Are Quietly Bringing New Users Into Crypto,https://defiliban.io/btc-bitcoin-pumping-above-73700-nearing-74000/,AI and Stablecoins Are Quietly Bringing New Users Into Crypto
