broken_target,instances,best_destination,best_score,best_jaccard,best_sequence,second_score,margin,confidence,example_source_1,example_anchor_1,example_source_2,example_anchor_2
https://defiliban.io/bitcoin-and-ethereum-etf-flows-jump-on-mar-18-as-btc-funds-add-2492-btc/,3,https://defiliban.io/bitcoin-ethereum-etf-flows-mar-18-update/,0.649,0.4,0.649,0.615,0.033,review,https://defiliban.io/bitcoin-crashes-under-71000-down-5-today/,"Spot Bitcoin ETF funds added 2,492 BTC on March 18",https://defiliban.io/institutional-bitcoin-demand-highest-since-october-2025/,further positive flows in mid-March
https://defiliban.io/bitcoin-halving-cycle-points-to-reversal-in-2-months/,3,https://defiliban.io/bitcoin-halving-reversal-2026/,0.642,0.3,0.642,0.607,0.035,review,https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026-2/,Bitcoin’s halving cycle dynamics,https://defiliban.io/bitcoin-etf-flows-today-outflow-111m/,Bitcoin halving cycle analysis
https://defiliban.io/whale-0x049b-opens-40m-in-20x-btc-eth-shorts/,3,https://defiliban.io/gambler-0x049b-shorting-btc-eth-20x-40m/,0.554,0.455,0.554,0.548,0.007,review,https://defiliban.io/scroll-scr-binance-first-pre-market-8m-market-cap/,high-leverage short positioning,https://defiliban.io/morgan-stanley-amy-oldenburg-spot-bitcoin-etf-best-first-day-trading/,"Whale 0x049b Opens $40M in 20x BTC, ETH Shorts"
https://defiliban.io/bybit-lists-blend-futures-key-details-market-impact-and-what-to-watch/,3,https://defiliban.io/bybit-delists-tru-futures-market/,0.535,0.214,0.535,0.532,0.003,review,https://defiliban.io/doj-pig-butchering-crypto-scam-crackdown-276-arrests/,recent exchange listing decisions,https://defiliban.io/coinbase-lists-mega-for-spot-trading/,Bybit’s recent BLEND futures listing
https://defiliban.io/gemini-lawsuit-investors-allege-exchange-misled-market/,3,,0,0,0,0,0,none,https://defiliban.io/cftc-bitcoin-margin-collateral-fcms/,ongoing scrutiny of exchange practices,https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-1488-btc/,Gemini investor lawsuit
https://defiliban.io/bitcoin-etf-flows-today-what-the-139-6m-outflow-means/,2,https://defiliban.io/bitcoin-etf-flows-today-latest-outflow-analysis/,0.78,0.417,0.78,0.742,0.038,review,https://defiliban.io/algorand-foundation-cuts-staff-crypto-market-uncertainty/,ETF-related capital flow disruptions,https://defiliban.io/morgan-stanley-second-amended-s1-spot-bitcoin-etf-sec/,spot Bitcoin ETF space
https://defiliban.io/blackrock-withdraws-172-84m-btc-eth-coinbase/,2,https://defiliban.io/blackrock-withdraws-btc-eth-from-coinbase-three-days/,0.75,0.5,0.75,0.716,0.034,review,https://defiliban.io/linked-wallets-0x554-0xf2f-buy-50706-eth-111-62m-usdt/,BlackRock recently withdrew $172.84 million in BTC and ETH from Coinbase,https://defiliban.io/xrp-evernorth-s-4-nasdaq-listing-arm-merger/,major institutional players moving assets between exchanges
https://defiliban.io/ark-invest-buys-circle-shares-stock-crash/,2,https://defiliban.io/ark-invest-circle-shares-20-drop/,0.712,0.444,0.712,0.684,0.028,review,https://defiliban.io/rba-tokenization-aud-24-billion/,institutional capital increasingly flows toward tokenized financial infrastructure,https://defiliban.io/whale-0x049b-20x-long-eth-btc-40-million/,Ark Invest recently deployed $16 million into Circle shares
https://defiliban.io/based-on-binance-alpha-defi-liquidity-impact/,2,https://defiliban.io/based-binance-alpha-listing-2/,0.658,0.333,0.658,0.648,0.01,review,https://defiliban.io/canada-bill-c25-ban-cryptocurrency-political-donations/,crypto-aligned political voices,https://defiliban.io/bnp-paribas-crypto-linked-etns-trading-expansion/,liquidity dynamics
https://defiliban.io/bitcoin-spot-etfs-see-159m-outflow-on-april-7-as-ethereum-etf-flows-stay-in-focus/,2,https://defiliban.io/bitcoin-etf-outflows-march-23-27-ethereum-etf-flows/,0.636,0.2,0.636,0.615,0.021,review,https://defiliban.io/yuga-labs-settles-lawsuit-ryder-ripps-jeremy-kahan-copied-nfts/,Bitcoin Spot ETFs See $159M Outflow on April 7 as Ethereum ETF Flows Stay in Focus,https://defiliban.io/cz-autobiography-binance-terra-3m-investment/,Bitcoin Spot ETFs See $159M Outflow on April 7 as Ethereum ETF Flows Stay in Focus
