source_url,broken_target,replacement_url,instances_for_target,confidence,anchor_text
https://defiliban.io/kelpdao-exploit-aave-rseth-bad-debt/,https://defiliban.io/charles-schwab-launches-schwab-crypto-spot-trading-for-retail-clients/,https://defiliban.io/charles-schwab-launches-schwab-crypto-spot-trading-retail-clients/,2,high,Charles Schwab’s retail crypto spot trading rollout
https://defiliban.io/coinbase-ventures-funding-slows-capital-shifts-tokenization-defi-ai-agents/,https://defiliban.io/charles-schwab-launches-schwab-crypto-spot-trading-for-retail-clients/,https://defiliban.io/charles-schwab-launches-schwab-crypto-spot-trading-retail-clients/,2,high,Charles Schwab’s retail crypto spot trading rollout
https://defiliban.io/polymarket-protocol-upgrade-pusd-official-docs/,https://defiliban.io/top-crypto-news-in-24-hours-strategy-buys-2932-btc/,https://defiliban.io/top-crypto-news-24-hours-strategy-buys-2932-btc/,2,high,crypto news roundups
https://defiliban.io/bhutan-sold-70-percent-bitcoin-holdings-18-months/,https://defiliban.io/top-crypto-news-in-24-hours-strategy-buys-2932-btc/,https://defiliban.io/top-crypto-news-24-hours-strategy-buys-2932-btc/,2,high,"Strategy’s 2,932 BTC purchase"
https://defiliban.io/genius-featured-binance-alpha/,https://defiliban.io/top-5-crypto-news-in-24-hours-mstr-buys-7300-btc/,https://defiliban.io/top-5-crypto-news-24-hours-mstr-buys-7300-btc/,2,high,institutional players are making large directional bets
https://defiliban.io/chainalysis-stablecoin-economic-volume-719t-2035/,https://defiliban.io/top-5-crypto-news-in-24-hours-mstr-buys-7300-btc/,https://defiliban.io/top-5-crypto-news-24-hours-mstr-buys-7300-btc/,2,high,"Top 5 Crypto News in 24 Hours: MSTR Buys 7,300 BTC"
https://defiliban.io/bitcoin-halving-700-days-cycle-bottom/,https://defiliban.io/new-wallet-0x8315-withdraws-10899-eth-binance/,https://defiliban.io/wallet-0x8315-withdraws-10899-eth-binance/,2,high,large wallet movements across major exchanges
https://defiliban.io/delphx-capital-markets-delx-crypto-treasury-plans/,https://defiliban.io/new-wallet-0x8315-withdraws-10899-eth-binance/,https://defiliban.io/wallet-0x8315-withdraws-10899-eth-binance/,2,high,"$71,043"
https://defiliban.io/grayscale-hype-etf-claim-lacks-sec-s1-proof/,https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-hits-1488-btc/,https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-1488-btc/,2,high,recent fluctuations in Bitcoin ETF flows
https://defiliban.io/top-5-crypto-news-last-24-hours-mantle-lending-1-35b/,https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-hits-1488-btc/,https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-1488-btc/,2,high,ETF flow data
https://defiliban.io/shinhan-card-pilot-stablecoin-payments-solana-testnet/,https://defiliban.io/coinbase-lists-mega-spot-trading/,https://defiliban.io/coinbase-lists-mega-for-spot-trading/,2,high,crypto market
https://defiliban.io/visa-expands-stablecoin-pilot-nine-chains-base-polygon-canton-tempo-arc/,https://defiliban.io/coinbase-lists-mega-spot-trading/,https://defiliban.io/coinbase-lists-mega-for-spot-trading/,2,high,new crypto assets reach major exchanges
https://defiliban.io/remixpoint-buys-19-72-btc-total-holdings-1471-btc/,https://defiliban.io/shinhan-card-stablecoin-payments-solana-testnet/,https://defiliban.io/shinhan-card-pilot-stablecoin-payments-solana-testnet/,2,high,institutional blockchain pilots
https://defiliban.io/mega-listed-on-binance-spot-market/,https://defiliban.io/shinhan-card-stablecoin-payments-solana-testnet/,https://defiliban.io/shinhan-card-pilot-stablecoin-payments-solana-testnet/,2,high,Shinhan Card’s stablecoin payment pilot on Solana
https://defiliban.io/cftc-bitcoin-margin-collateral-fcms/,https://defiliban.io/sol-forward-industries-stock-solana-treasury-strategy/,https://defiliban.io/sol-forward-industries-solana-treasury-strategy/,2,high,firm with a digital asset treasury strategy
https://defiliban.io/gemini-collective-lawsuit-investor-misrepresentation/,https://defiliban.io/sol-forward-industries-stock-solana-treasury-strategy/,https://defiliban.io/sol-forward-industries-solana-treasury-strategy/,2,high,institutional players allocate to crypto treasury strategies
https://defiliban.io/ctr-added-to-coinbase-roadmap/,https://defiliban.io/polymarket-seeks-cftc-approval-to-return-main-exchange-to-u-s/,https://defiliban.io/polymarket-seeks-cftc-approval-return-main-exchange-us/,2,high,platforms seeking regulatory approval to expand U.S. operations
https://defiliban.io/block-buys-additional-114-89-btc-bringing-total-holdings-to-8998-btc/,https://defiliban.io/polymarket-seeks-cftc-approval-to-return-main-exchange-to-u-s/,https://defiliban.io/polymarket-seeks-cftc-approval-return-main-exchange-us/,2,high,Polymarket’s pursuit of CFTC approval
https://defiliban.io/top-5-crypto-news-24-hours-mstr-buys-7300-btc/,https://defiliban.io/ai-and-stablecoins-are-quietly-bringing-new-users-into-crypto/,https://defiliban.io/ai-stablecoins-quietly-bringing-new-users-into-crypto/,2,high,AI and Stablecoins Are Quietly Bringing New Users Into Crypto
https://defiliban.io/btc-bitcoin-pumping-above-73700-nearing-74000/,https://defiliban.io/ai-and-stablecoins-are-quietly-bringing-new-users-into-crypto/,https://defiliban.io/ai-stablecoins-quietly-bringing-new-users-into-crypto/,2,high,AI and Stablecoins Are Quietly Bringing New Users Into Crypto
https://defiliban.io/bybit-delists-syn-from-futures-trading/,https://defiliban.io/uniswap-dao-votes-on-proposal-to-reclaim-42m-in-uni-delegation-loans/,https://defiliban.io/uniswap-dao-votes-proposal-reclaim-42m-uni-delegation-loans/,2,high,Uniswap DAO vote to reclaim $42M in UNI delegation loans
https://defiliban.io/tether-treasury-transfers-300m-usdt-to-bitfinex/,https://defiliban.io/uniswap-dao-votes-on-proposal-to-reclaim-42m-in-uni-delegation-loans/,https://defiliban.io/uniswap-dao-votes-proposal-reclaim-42m-uni-delegation-loans/,2,high,DeFi governance proposals
