Ngày,Các trang bị ảnh hưởng
2026-03-28,2118
2026-03-29,2068
2026-03-30,2068
2026-03-31,2068
2026-04-01,2081
2026-04-02,2081
2026-04-03,2081
2026-04-04,2081
2026-04-05,2081
2026-04-06,2081
2026-04-07,1339
2026-04-08,1339
2026-04-09,1339
2026-04-10,1339
2026-04-11,0
2026-04-12,0
2026-04-13,0
2026-04-14,0
2026-04-15,0
2026-04-16,0
2026-04-17,0
2026-04-18,0
2026-04-19,0
2026-04-20,0
2026-04-21,0
2026-04-22,0
2026-04-23,0
2026-04-24,0
2026-04-25,0
2026-04-26,0
2026-04-27,0
2026-04-28,0
2026-04-29,0
2026-04-30,0
2026-05-01,0
2026-05-02,0
2026-05-03,0
2026-05-04,0
2026-05-05,0
2026-05-06,0
2026-05-07,0
2026-05-08,0
2026-05-09,0
2026-05-10,0
2026-05-11,0
2026-05-12,1102
2026-05-13,1102
2026-05-14,1102
2026-05-15,1102
2026-05-16,1102
2026-05-17,1102
2026-05-18,1102
