url,last_crawled_gsc,current_status_code,current_indexability,current_indexability_status,inlinks_old_triage,word_count_old_triage,duplicate_title_count_old_triage,flags_old_triage,title_old_triage,action_bucket,priority,reason
https://defiliban.io/brazil-prediction-market-ban-kalshi-polymarket/,1970-01-01,200,Indexable,,167,982,1,single_slug,"Brazil Prediction Market Ban Blocks Kalshi, Polymarket",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/tesla-stock-price-prediction-2026/,1970-01-01,200,Indexable,,58,910,1,single_slug,Tesla Stock Price Prediction for January 2026 - DeFiliban,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/blockdag-cosmos-tron-polygon-next-crypto-to-explode-in-2025/,1970-01-01,200,Indexable,,57,1212,1,single_slug;blockdag_cluster;wordcount_1200_plus,"BlockDAG, Cosmos, Tron & Polygon: Next Crypto to Explode in 2025",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/blockdag-raises-nearly-410m-before-testnet-launch/,1970-01-01,200,Indexable,,57,1115,1,single_slug;blockdag_cluster,BlockDAG Raises Nearly $410M Before Testnet Launch,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/blockdag-referral-program-the-ultimate-crypto-side-hustle/,1970-01-01,200,Indexable,,57,953,1,single_slug;blockdag_cluster,BlockDAG Referral Program: The Ultimate Crypto Side Hustle,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/doge-pengu-surge-blockdag-ama-ignites-market-frenzy/,1970-01-01,200,Indexable,,57,1222,1,single_slug;blockdag_cluster;wordcount_1200_plus,DOGE & PENGU Surge; BlockDAG AMA Ignites Market Frenzy,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/ethereum-marches-toward-4500-avalanche-tests-resistance-and-blockdags-presale-hits-430m-milestone-ahead-of-genesis-day/,1970-01-01,200,Indexable,,57,1172,1,single_slug;blockdag_cluster,"Ethereum Marches Toward $4,500, Avalanche Tests Resistance, and BlockDAG’s Presale Hits $430M Milestone Ahead of Genesis Day!",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/ineminer-cloud-mining-launch/,1970-01-01,200,Indexable,,57,628,1,single_slug;wordcount_lt700,INEMiner Launches Cloud Mining Platform with Free Bonus - DeFiliban,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/top-4-altcoins-to-buy-today-blockdag-leads-with-2049-bonus-followed-by-arb-uni-aave/,1970-01-01,200,Indexable,,57,1120,1,single_slug;blockdag_cluster,"Top 4 Altcoins to Buy Today: BlockDAG Leads with 2049% Bonus, Followed by ARB, UNI & AAVE",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/with-430m-raised-binance-ama-ahead-blockdag-redefines-strength-trust-and-value-as-the-best-presale-crypto-to-buy-now/,1970-01-01,200,Indexable,,57,1499,1,single_slug;blockdag_cluster;wordcount_1200_plus,"With $430M Raised & Binance AMA Ahead, BlockDAG Redefines Strength, Trust, and Value as the Best Presale Crypto to Buy Now",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/best-performing-cryptos-2025-eth-bnb-blockdag-ada/,1970-01-01,200,Indexable,,56,903,1,single_slug;blockdag_cluster,"Best Performing Cryptos 2025: ETH, BNB, BlockDAG, ADA",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/bitcoin-price-predictions-q4-2025/,1970-01-01,200,Indexable,,56,780,1,single_slug,Bitcoin Price Predictions for Q4 2025 Show Strong Rally - DeFiliban,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/blockdag-hyperliquid-xrp-tron-race-ahead-highest-roi-crypto-2025/,1970-01-01,200,Indexable,,56,1234,1,single_slug;blockdag_cluster;wordcount_1200_plus,"BlockDAG, Hyperliquid, XRP & Tron Race Ahead as the Highest-ROI Crypto in 2025",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/highest-roi-cryptos-in-2025-blockdag-sol-ltc-bnb-ranked/,1970-01-01,200,Indexable,,56,1041,1,single_slug;blockdag_cluster,"Highest-ROI Cryptos in 2025: BlockDAG, SOL, LTC, & BNB Ranked",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
https://defiliban.io/hugs-the-new-crypto-presale-with-1000x-potential-returns-hidden-behind-the-cuteness/,1970-01-01,200,Indexable,,56,1385,1,single_slug;wordcount_1200_plus,$HUGS: The New Crypto Presale With 1000x Potential Returns Hidden Behind the Cuteness,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.
