url,last_crawled_gsc,current_status_code,current_indexability,current_indexability_status,inlinks_old_triage,word_count_old_triage,duplicate_title_count_old_triage,flags_old_triage,title_old_triage,action_bucket,priority,reason,slug,post_id,title,status,lookup_status,delete_status,detail,public_status_now,deletion_route,route_detail,asset_url
https://defiliban.io/11-4m-rollblock-presale-vs-386m-blockdag-presale-who-wins/,1970-01-01,200,Indexable,,50,1010,1,single_slug;blockdag_cluster,$11.4M RollBlock Presale vs $386M BlockDAG Presale: Who Wins?,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,11-4m-rollblock-presale-vs-386m-blockdag-presale-who-wins,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,4190,https://defiliban.io/wp-content/uploads/2025/08/2025-08-28T144348.888Zunnamed.png
https://defiliban.io/17m-worth-of-proof-pods-crypto-crowd-cant-keep-calm-as-zero-knowledge-proof-zkp-to-roll-out-hardware-when-ica-opens/,1970-01-01,200,Indexable,,54,1297,1,single_slug;wordcount_1200_plus,$17M-Worth of Proof Pods: Crypto Crowd Can’t Keep Calm As Zero Knowledge Proof (ZKP) To Roll Out Hardware When ICA Opens!,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,17m-worth-of-proof-pods-crypto-crowd-cant-keep-calm-as-zero-knowledge-proof-zkp-to-roll-out-hardware-when-ica-opens,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,6490,https://defiliban.io/wp-content/uploads/2025/11/2025-11-14T110410.329Zunnamed.png
https://defiliban.io/3m-daily-miners-and-0-exchanges-how-blockdag-built-cryptos-most-organic-community/,1970-01-01,200,Indexable,,50,1115,1,single_slug;blockdag_cluster,3M+ Daily Miners and 0 Exchanges: How BlockDAG Built Crypto’s Most Organic Community,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,3m-daily-miners-and-0-exchanges-how-blockdag-built-cryptos-most-organic-community,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,4523,https://defiliban.io/wp-content/uploads/2025/09/2025-09-08T091946.565Zunnamed.png
https://defiliban.io/5-top-crypto-coins-to-buy-now-for-massive-gains-zero-knowledge-proof-zkp-dogecoin-filecoin-polygon-solana/,1970-01-01,200,Indexable,,55,1308,1,single_slug;wordcount_1200_plus,"5 Top Crypto Coins to Buy Now for Massive Gains: Zero Knowledge Proof (ZKP), Dogecoin, Filecoin, Polygon, & Solana!",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,5-top-crypto-coins-to-buy-now-for-massive-gains-zero-knowledge-proof-zkp-dogecoin-filecoin-polygon-solana,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,6516,https://defiliban.io/wp-content/uploads/2025/11/2025-11-15T075857.773Zunnamed.png
https://defiliban.io/aave-at-320-stellarpad-ai-grows-blockdag-crosses-405m/,1970-01-01,200,Indexable,,52,1164,1,single_slug;blockdag_cluster,"AAVE at $320, StellarPad AI Grows, BlockDAG Crosses $405M",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,aave-at-320-stellarpad-ai-grows-blockdag-crosses-405m,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,4808,https://defiliban.io/wp-content/uploads/2025/09/2025-09-16T100722.672Zunnamed.png
https://defiliban.io/ada-pi-vs-blockdag-which-is-the-best-long-term-crypto-investment/,1970-01-01,200,Indexable,,50,1183,1,single_slug;blockdag_cluster,ADA & Pi vs BlockDAG: Which is the Best Long Term Crypto Investment?,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,ada-pi-vs-blockdag-which-is-the-best-long-term-crypto-investment,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,5000,https://defiliban.io/wp-content/uploads/2025/09/2025-09-21T150620.804Zunnamed.png
https://defiliban.io/ada-ripple-face-off-as-bdag-396m-presale-signals-momentum/,1970-01-01,200,Indexable,,51,1053,1,single_slug,ADA & Ripple Face Off as BDAG $396M Presale Signals Momentum,delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,ada-ripple-face-off-as-bdag-396m-presale-signals-momentum,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,4623,https://defiliban.io/wp-content/uploads/2025/09/2025-09-10T131742.979Zunnamed.png
https://defiliban.io/ada-steady-sui-climbs-blockdag-announces-september-25-testnet-launch/,1970-01-01,200,Indexable,,53,1080,1,single_slug;blockdag_cluster,"ADA Steady, SUI Climbs, BlockDAG Announces September 25 Testnet Launch!",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,ada-steady-sui-climbs-blockdag-announces-september-25-testnet-launch,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,4670,https://defiliban.io/wp-content/uploads/2025/09/2025-09-11T161338.293Zunnamed.png
https://defiliban.io/ada-weakens-pump-targets-0-0095-but-blockdags-testnet-steals-the-show/,1970-01-01,200,Indexable,,52,1107,1,single_slug;blockdag_cluster,"ADA Weakens, Pump Targets $0.0095, but BlockDAG’s Testnet Steals The Show!",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,ada-weakens-pump-targets-0-0095-but-blockdags-testnet-steals-the-show,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,5133,https://defiliban.io/wp-content/uploads/2025/09/2025-09-26T103706.151Zunnamed.png
https://defiliban.io/altcoins-that-will-explode-in-2025-eth-xrp-blockdag-hype/,1970-01-01,200,Indexable,,51,1066,1,single_slug;blockdag_cluster,"Altcoins That Will Explode in 2025: ETH, XRP, BlockDAG & HYPE",delete_or_noindex,high,Promotional or low-trust investment-style URL; better pruned or deprioritized.,altcoins-that-will-explode-in-2025-eth-xrp-blockdag-hype,,,,lookup_failed,lookup_failed,Could not map slug to a single post.,200,attachment_delete_media,4142,https://defiliban.io/wp-content/uploads/2025/08/2025-08-27T140859.856Zunnamed.png
