source_url,broken_target,anchor_text,recommended_action,replacement_url,priority,note
https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026/,https://defiliban.io/bitcoin-etf-flows-today-111m-single-day-outflow-as-7-day-drain-hits-211m/,spot Bitcoin ETFs experienced a $111 million single-day outflow,replace_link,https://defiliban.io/bitcoin-etf-flows-today-outflow-111m/,high,Exact live replacement found on site.
https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026/,https://defiliban.io/bitcoin-etf-flows-today-111m-single-day-outflow-as-7-day-drain-hits-211m/,alternating stretches of inflows and outflows,replace_link,https://defiliban.io/bitcoin-etf-flows-today-outflow-111m/,high,Exact live replacement found on site.
https://defiliban.io/kat-listed-on-coinbase-spot/,https://defiliban.io/blackrock-withdraws-6167-btc-coinbase-outflows/,large-scale Coinbase outflows tied to institutional players like BlackRock,remove_or_replace_with_closest_contextual_article,https://defiliban.io/bitcoin-ethereum-etf-flows-mar-18-update/,medium,No exact live replacement found; safest action is remove link if contextual replacement feels weak.
https://defiliban.io/bitcoin-ethereum-etf-flows-mar-18-update/,https://defiliban.io/blackrock-withdraws-6167-btc-coinbase-outflows/,recent pattern of large institutional BTC movements between custodians,remove_or_replace_with_closest_contextual_article,https://defiliban.io/bitcoin-ethereum-etf-flows-mar-18-update/,medium,This may be self-referential after replacement; remove if no better target exists.
https://defiliban.io/senator-cynthia-lummis-bitcoin-crypto-market-structure-legislation/,https://defiliban.io/blackrock-withdraws-6167-btc-coinbase-outflows/,actively accumulating BTC through spot ETF channels,remove_or_replace_with_closest_contextual_article,https://defiliban.io/bitcoin-ethereum-etf-flows-mar-18-update/,medium,No exact live replacement found; remove if editorial fit is weak.
https://defiliban.io/solana-foundation-security-audit-system-protocols/,https://defiliban.io/binance-adds-new-spot-trading-pairs-on-april-6-2026/,Binance Adds New Spot Trading Pairs on April 6, 2026,replace_link,https://defiliban.io/binance-adds-new-spot-trading-pairs-april-6-2026/,high,Exact live replacement found on site.
https://defiliban.io/bitcoin-spot-etfs-471m-net-inflow-april-6/,https://defiliban.io/binance-adds-new-spot-trading-pairs-on-april-6-2026/,Binance adding new spot trading pairs on April 6, 2026,replace_link,https://defiliban.io/binance-adds-new-spot-trading-pairs-april-6-2026/,high,Exact live replacement found on site.
https://defiliban.io/binance-spot-price-range-execution-rule-abnormal-order-execution/,https://defiliban.io/binance-adds-new-spot-trading-pairs-on-april-6-2026/,April 6 spot pair additions,replace_link,https://defiliban.io/binance-adds-new-spot-trading-pairs-april-6-2026/,high,Exact live replacement found on site.
https://defiliban.io/bybit-launches-44-stock-cfds-ibit-blackrock-bitcoin-etf/,https://defiliban.io/hyperbridge-exploit-mints-1b-bridged-dot-on-ethereum/,the Hyperbridge bridged-DOT exploit,replace_link,https://defiliban.io/hyperbridge-exploit-1b-bridged-dot-ethereum/,high,Exact live replacement found on site.
https://defiliban.io/utk-support-rebranding-airdrop-plan-binance-spot-delisting/,https://defiliban.io/hyperbridge-exploit-mints-1b-bridged-dot-on-ethereum/,the Hyperbridge exploit that minted 1B bridged DOT on Ethereum,replace_link,https://defiliban.io/hyperbridge-exploit-1b-bridged-dot-ethereum/,high,Exact live replacement found on site.
https://defiliban.io/btc-bitcoin-divergence-spot-rally-binance-open-interest-plunges/,https://defiliban.io/hyperbridge-exploit-mints-1b-bridged-dot-on-ethereum/,Hyperbridge Exploit Mints 1B Bridged DOT on Ethereum,replace_link,https://defiliban.io/hyperbridge-exploit-1b-bridged-dot-ethereum/,high,Exact live replacement found on site.
