source_url,destination_url,redirect_type,title,priority,note
https://defiliban.io/21shares-jito-staked-sol-etp-2/,https://defiliban.io/21shares-jito-staked-sol-etp/,301,21Shares Launches Jito Staked SOL ETP for Investors - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/21shares-jito-staked-sol-etp/
https://defiliban.io/bank-of-japan-interest-rate-hike-3/,https://defiliban.io/bank-of-japan-interest-rate-hike-2/,301,Bank of Japan Raises Interest Rate to 0.75% - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/bank-of-japan-interest-rate-hike-2/
https://defiliban.io/based-binance-alpha-listing-2/,https://defiliban.io/based-binance-alpha-listing/,301,$BASED on Binance Alpha: DeFi Liquidity Impact,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/based-binance-alpha-listing/
https://defiliban.io/bitcoin-surges-options-expiry-2/,https://defiliban.io/bitcoin-surges-options-expiry/,301,"Bitcoin Surges Past $115,000 After Options Expiry - DeFiliban",high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/bitcoin-surges-options-expiry/
https://defiliban.io/blackrock-bitcoin-etp-launch/,https://defiliban.io/blackrock-bitcoin-etp-london/,301,BlackRock Launches Bitcoin ETP on London Stock Exchange - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/blackrock-bitcoin-etp-london/
https://defiliban.io/blackrock-bitcoin-trust-outflow-2/,https://defiliban.io/blackrock-bitcoin-trust-outflow/,301,BlackRock Bitcoin Trust Sees Record $430.8 Million Outflow - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/blackrock-bitcoin-trust-outflow/
https://defiliban.io/cardano-ada-holdings-audit-2/,https://defiliban.io/cardano-ada-holdings-audit/,301,Cardano to Release ADA Holdings Audit in August 2025 - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/cardano-ada-holdings-audit/
https://defiliban.io/china-stablecoins-cross-border-payments-2/,https://defiliban.io/china-stablecoins-cross-border-payments/,301,China Explores Stablecoins for Cross-Border Payments - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/china-stablecoins-cross-border-payments/
https://defiliban.io/deutsche-bank-revenge-tax-consequences/,https://defiliban.io/deutsche-bank-revenge-tax-impact/,301,Deutsche Bank Warns of Revenge Tax Consequences - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/deutsche-bank-revenge-tax-impact/
https://defiliban.io/gamesquare-acquires-cryptopunk-5577-2/,https://defiliban.io/gamesquare-acquires-cryptopunk-5577/,301,GameSquare Acquires CryptoPunk #5577 for $5.15 Million - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/gamesquare-acquires-cryptopunk-5577/
https://defiliban.io/meta-shareholders-reject-bitcoin-3/,https://defiliban.io/meta-shareholders-reject-bitcoin/,301,Meta Shareholders Reject Bitcoin Treasury Proposal - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/meta-shareholders-reject-bitcoin/
https://defiliban.io/meta-shareholders-reject-bitcoin-proposal/,https://defiliban.io/meta-shareholders-reject-bitcoin/,301,Meta Shareholders Reject Bitcoin Treasury Proposal - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/meta-shareholders-reject-bitcoin/
https://defiliban.io/microstrategy-bitcoin-acquisition-strategy-2/,https://defiliban.io/microstrategy-bitcoin-acquisition-strategy/,301,MicroStrategy Continues Bitcoin Acquisition Strategy Under Saylor - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/microstrategy-bitcoin-acquisition-strategy/
https://defiliban.io/peter-brandt-bitcoin-price-correction-2/,https://defiliban.io/peter-brandt-bitcoin-price-correction/,301,Peter Brandt Predicts 75% Bitcoin Price Correction - DeFiliban,high,Duplicate/near-duplicate. Redirect to canonical target https://defiliban.io/peter-brandt-bitcoin-price-correction/
