id,source,matching,destination,type,category,status,ignore
,/bitcoin-and-ethereum-etf-flows-jump-on-mar-18-as-btc-funds-add-2492-btc/,exact,https://defiliban.io/bitcoin-ethereum-etf-flows-mar-18-update/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/bitcoin-halving-cycle-points-to-reversal-in-2-months/,exact,https://defiliban.io/bitcoin-halving-reversal-2026/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/bitcoin-etf-flows-today-what-the-139-6m-outflow-means/,exact,https://defiliban.io/bitcoin-etf-flows-today-latest-outflow-analysis/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/blackrock-withdraws-172-84m-btc-eth-coinbase/,exact,https://defiliban.io/blackrock-withdraws-btc-eth-from-coinbase-three-days/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/ark-invest-buys-circle-shares-stock-crash/,exact,https://defiliban.io/ark-invest-circle-shares-20-drop/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/based-on-binance-alpha-defi-liquidity-impact/,exact,https://defiliban.io/based-binance-alpha-listing/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/bitcoin-spot-etfs-see-159m-outflow-on-april-7-as-ethereum-etf-flows-stay-in-focus/,exact,https://defiliban.io/bitcoin-spot-etf-net-outflow-april-7-sosovalue/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/fear-greed-index-for-btc-how-to-read-bitcoin-sentiment/,exact,https://defiliban.io/fear-greed-index-for-btc/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/resolv-labs-hack-claim-what-we-know-about-the-reported-50m-usr-incident/,exact,https://defiliban.io/resolv-labs-hack-claim-50m-usr/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/visa-stablecoin-pilot-expands-nine-chains/,exact,https://defiliban.io/visa-expands-stablecoin-pilot-nine-chains-base-polygon-canton-tempo-arc/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/cz-on-terra-binances-3m-bet-recounted/,exact,https://defiliban.io/cz-autobiography-binance-terra-3m-investment/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/ether-etf-inflows-hit-record/,exact,https://defiliban.io/ether-etf-inflows-record-11-68-billion-187-million-weekly-inflow/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/us-bitcoin-spot-etfs-225m-net-outflow-march-27/,exact,https://defiliban.io/us-bitcoin-spot-etf-net-outflow-225-million-march-27/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/spot-bitcoin-etf-records-net-outflow-march-24/,exact,https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/bitcoin-etf-flows-today-what-139-6m-outflow-means/,exact,https://defiliban.io/bitcoin-etf-flows-today-latest-outflow-analysis/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/morgan-stanley-bitcoin-etf-defi-wbtc/,exact,https://defiliban.io/morgan-stanley-msbt-bitcoin-etf/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/spot-bitcoin-etf-records-74-53m-net-outflow-on-march-24-2026/,exact,https://defiliban.io/spot-bitcoin-etf-outflow-march-24-2026/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/bitcoin-etf-flows-today-111m-single-day-outflow/,exact,https://defiliban.io/bitcoin-etf-flows-today-1d-net-outflow-1488-btc/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/ark-invest-circle-shares-stock-crash/,exact,https://defiliban.io/ark-invest-circle-shares-20-drop/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/blackrock-withdraws-172-84m-in-btc-and-eth-from-coinbase/,exact,https://defiliban.io/blackrock-withdraws-btc-eth-from-coinbase-three-days/,301,internal-broken-targets-review-round1-2026-05-21,active,
,/bitcoin-etf-inflows-rebound-market-volatility/,exact,https://defiliban.io/bitcoin-etf-inflows-rebound/,301,internal-broken-targets-review-round1-2026-05-21,active,
