source_url,broken_target,instances,example_anchor,link_position,recommended_action,note
https://defiliban.io/lbank-launches-elite-lead-trader-challenge-with-enhanced-rewards-for-top-trading-performance/,https://defiliban.io/cdn-cgi/l/email-protection,2,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/bybit-ranks-no-2-in-open-interest-among-major-crypto-exchanges-leads-cexs-in-oi-to-volume-ratio/,https://defiliban.io/cdn-cgi/l/email-protection,2,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/btcc-exchange-and-afa-launch-a-trading-championship-with-a-million-usdt-prize-pool-and-a-messi-signed-jersey/,https://defiliban.io/cdn-cgi/l/email-protection,2,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/lbank-reports-2-5-billion-daily-tradfi-trading-volume-up-25-since-march/,https://defiliban.io/cdn-cgi/l/email-protection,2,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/bybit-announces-early-bird-ticket-access-for-tomorrowland-brasil-2027-for-bybit-cardholders/,https://defiliban.io/cdn-cgi/l/email-protection,2,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/ineminer-cloud-mining-launch/,https://defiliban.io/cdn-cgi/l/email-protection,2,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/blofin-war-of-whales-2026-grand-prix-opens-registration-for-5m-trading-championship/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/secondfi-and-wirex-partner-to-launch-self-custodial-card-putting-global-users-in-full-control-of-their-money/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/ourbit-super-ipo-products-spax-and-openai-see-active-market-participation/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/basis-pro-is-live-base58labs-officially-launches-crypto-arbitrage-platform/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
https://defiliban.io/knoxnet-introduces-the-first-dual-domain-layer-1-privacy-network-where-the-internet-is-optional/,https://defiliban.io/cdn-cgi/l/email-protection,1,[email protected],Content,remove broken email link or replace with plain text email / working contact URL,Article-body Cloudflare email-protection link causing 404.
